mae: 3.6696659491570847: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 2, _subsample: 0.5 _gamma: 0.4, _colsample_bytree: 1, _colsample_bylevel: 0.2, 
mae: 3.2570129611342: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 2, _subsample: 0.5 _gamma: 0.4, _colsample_bytree: 1, _colsample_bylevel: 0.6, 
mae: 3.2659070334849702: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 2, _subsample: 0.5 _gamma: 0.4, _colsample_bytree: 1, _colsample_bylevel: 1, 
mae: 4.697059437952775: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 2, _subsample: 0.7 _gamma: 0, _colsample_bytree: 0.2, _colsample_bylevel: 0.2, 
mae: 4.27689441326162: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 2, _subsample: 0.7 _gamma: 0, _colsample_bytree: 0.2, _colsample_bylevel: 0.6, 
mae: 4.046785222392083: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 2, _subsample: 0.7 _gamma: 0, _colsample_bytree: 0.2, _colsample_bylevel: 1, 
mae: 3.926849469056038: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 2, _subsample: 0.7 _gamma: 0, _colsample_bytree: 0.6, _colsample_bylevel: 0.2, 
mae: 3.4518444482988544: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 2, _subsample: 0.7 _gamma: 0, _colsample_bytree: 0.6, _colsample_bylevel: 0.6, 
mae: 3.3065684417464314: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 2, _subsample: 0.7 _gamma: 0, _colsample_bytree: 0.6, _colsample_bylevel: 1, 
mae: 3.682391375926349: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 2, _subsample: 0.7 _gamma: 0, _colsample_bytree: 1, _colsample_bylevel: 0.2, 
mae: 3.2574185199268766: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 2, _subsample: 0.7 _gamma: 0, _colsample_bytree: 1, _colsample_bylevel: 0.6, 
mae: 3.2623644134030494: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 2, _subsample: 0.7 _gamma: 0, _colsample_bytree: 1, _colsample_bylevel: 1, 
mae: 4.718779556891383: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 2, _subsample: 0.7 _gamma: 0.2, _colsample_bytree: 0.2, _colsample_bylevel: 0.2, 
mae: 4.258204045690092: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 2, _subsample: 0.7 _gamma: 0.2, _colsample_bytree: 0.2, _colsample_bylevel: 0.6, 
mae: 4.096351970455488: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 2, _subsample: 0.7 _gamma: 0.2, _colsample_bytree: 0.2, _colsample_bylevel: 1, 
mae: 3.9423667491055783: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 2, _subsample: 0.7 _gamma: 0.2, _colsample_bytree: 0.6, _colsample_bylevel: 0.2, 
mae: 3.4519702356821003: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 2, _subsample: 0.7 _gamma: 0.2, _colsample_bytree: 0.6, _colsample_bylevel: 0.6, 
mae: 3.330710488154476: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 2, _subsample: 0.7 _gamma: 0.2, _colsample_bytree: 0.6, _colsample_bylevel: 1, 
mae: 3.6280425187677676: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 2, _subsample: 0.7 _gamma: 0.2, _colsample_bytree: 1, _colsample_bylevel: 0.2, 
mae: 3.244728944939431: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 2, _subsample: 0.7 _gamma: 0.2, _colsample_bytree: 1, _colsample_bylevel: 0.6, 
mae: 3.2611525941833794: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 2, _subsample: 0.7 _gamma: 0.2, _colsample_bytree: 1, _colsample_bylevel: 1, 
mae: 4.706208594131223: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 2, _subsample: 0.7 _gamma: 0.4, _colsample_bytree: 0.2, _colsample_bylevel: 0.2, 
mae: 4.249108747541977: _n_estimators: 50, _max_depth: 2, _learning_rate: 0.05, _min_child_weight: 2, _subsample: 0.7 _gamma: 0.4, _colsample_bytree: 0.2, _colsample_bylevel: 0.6, 
